experiment,r,lam,chi,psi,eta,P_star,ownership_rate,lock_in_index,PTI,avg_utility
lambda_eta,0.05,0.0,0.1,0.36,0.0,192073.44253047486,0.761,-0.21599999999999997,3.170640812920555,-4.8358892487186314e-05
lambda_eta,0.05,0.0,0.1,0.36,0.002,193792.1083142594,0.7224,-0.2400000000000001,3.1990115850900227,-4.845888961030035e-05
lambda_eta,0.05,0.0,0.1,0.36,0.008,198202.18435080393,0.6024,-0.293,3.271810650308695,-4.870482446590328e-05
lambda_eta,0.05,0.1,0.1,0.36,0.0,299961.2998344377,0.5134,0.8089999999999999,4.951593135531316,-4.866875120962057e-05
lambda_eta,0.05,0.1,0.1,0.36,0.002,299912.2189384598,0.5136,0.8089999999999999,4.95078293558971,-4.866773657348535e-05
lambda_eta,0.05,0.1,0.1,0.36,0.008,299864.5584175154,0.5138,0.8079999999999999,4.949996182403634,-4.8666771771458994e-05
lambda_eta,0.05,0.2,0.1,0.36,0.0,317128.08686680126,0.515,0.8109999999999999,5.234972841098322,-4.844156749933456e-05
lambda_eta,0.05,0.2,0.1,0.36,0.002,316804.499930175,0.5202,0.8109999999999999,5.229631249182863,-4.843519329952553e-05
lambda_eta,0.05,0.2,0.1,0.36,0.008,315429.4938386569,0.537,0.8039999999999999,5.206933418736627,-4.8407563606541685e-05
lambda_eta,0.05,0.3,0.1,0.36,0.0,328962.63012490096,0.5238,0.7909999999999999,5.430330852919509,-4.828223599607668e-05
lambda_eta,0.05,0.3,0.1,0.36,0.002,327810.03973285726,0.5344,0.7899999999999999,5.411304536269752,-4.825960940549216e-05
lambda_eta,0.05,0.3,0.1,0.36,0.008,325202.9419029359,0.558,0.7779999999999999,5.368268025475118,-4.820653192032995e-05
rate_shock,0.03,0.0,0.1,0.36,0.0,199237.60918910027,0.7742,-0.19699999999999995,3.288902863619201,-4.8228366051384896e-05
rate_shock,0.03,0.1,0.1,0.36,0.0,345135.01360673626,0.5028,0.835,5.697295501619308,-4.8382075834524334e-05
rate_shock,0.03,0.2,0.1,0.36,0.0,392658.63424576586,0.5168,0.7999999999999999,6.481788814128941,-4.86126965181224e-05
rate_shock,0.05,0.0,0.1,0.36,0.0,192073.44253047486,0.761,-0.21599999999999997,3.170640812920555,-4.8358892487186314e-05
rate_shock,0.05,0.1,0.1,0.36,0.0,299961.2998344377,0.5134,0.8089999999999999,4.951593135531316,-4.866875120962057e-05
rate_shock,0.05,0.2,0.1,0.36,0.0,317128.08686680126,0.515,0.8109999999999999,5.234972841098322,-4.844156749933456e-05
rate_shock,0.07,0.0,0.1,0.36,0.0,184123.74355012583,0.7406,-0.256,3.0394116346153432,-4.856741100736994e-05
rate_shock,0.07,0.1,0.1,0.36,0.0,251058.97551860177,0.5162,0.8039999999999999,4.144340954908449,-4.862535104072557e-05
rate_shock,0.07,0.2,0.1,0.36,0.0,264290.3693888229,0.5158,0.816,4.362757394287327,-4.826198708306171e-05
chi_lam,0.05,0.0,0.05,0.36,0.0,289428.8041157086,0.6444,-0.342,4.777728595240093,-4.9257819178011794e-05
chi_lam,0.05,0.1,0.05,0.36,0.0,303980.5043287565,0.5202,0.7909999999999999,5.017939912250012,-4.8746959758857536e-05
chi_lam,0.05,0.2,0.05,0.36,0.0,317038.9979378493,0.5164,0.8109999999999999,5.233502210956054,-4.843981909860624e-05
chi_lam,0.05,0.3,0.05,0.36,0.0,329117.3800322662,0.5232,0.7909999999999999,5.432885377718064,-4.828524540501291e-05
chi_lam,0.05,0.0,0.1,0.36,0.0,192073.44253047486,0.761,-0.21599999999999997,3.170640812920555,-4.8358892487186314e-05
chi_lam,0.05,0.1,0.1,0.36,0.0,299961.2998344377,0.5134,0.8089999999999999,4.951593135531316,-4.866875120962057e-05
chi_lam,0.05,0.2,0.1,0.36,0.0,317128.08686680126,0.515,0.8109999999999999,5.234972841098322,-4.844156749933456e-05
chi_lam,0.05,0.3,0.1,0.36,0.0,328962.63012490096,0.5238,0.7909999999999999,5.430330852919509,-4.828223599607668e-05
chi_lam,0.05,0.0,0.2,0.36,0.0,104402.57799876822,0.7946,-0.16099999999999992,1.723419283873642,-4.795097385000795e-05
chi_lam,0.05,0.1,0.2,0.36,0.0,208178.15847143185,0.4802,0.902,3.4364884437547283,-4.733909516934471e-05
chi_lam,0.05,0.2,0.2,0.36,0.0,278838.0061266521,0.4888,0.868,4.602901633724206,-4.7819433281678186e-05
chi_lam,0.05,0.3,0.2,0.36,0.0,317847.5718071613,0.5114,0.822,5.246849695525114,-4.808943315674198e-05
